Food,Carbohydrates,Protein,Fat,Sugar,Sodium,콜레스테롤,포화지방,트랜스지방,1회 제공량,Energy,분류
떡국,147.17 ,20.63 ,4.45 ,0.48 ,1928.42 ,136.34 ,2.18 ,0.02 ,800.00 ,711.13 ,면 및 만두류
꽈배기,30.70 ,5.13 ,13.23 ,7.02 ,279.94 ,12.36 ,4.51 ,0.12 ,65.00 ,262.38 ,빵 및 과자류
햄버거,38.72 ,20.57 ,14.52 ,7.62 ,620.73 ,52.03 ,7.38 ,0.05 ,121.00 ,370.26 ,햄버거
떡볶이,60.48 ,7.61 ,3.46 ,6.83 ,853.08 ,7.49 ,0.75 ,0.00 ,200.00 ,303.53 ,볶음류
찹쌀떡,65.61 ,3.26 ,0.15 ,17.54 ,225.61 ,0.00 ,0.15 ,0.00 ,100.00 ,276.87 ,"곡류,서류 제품"
낙지볶음,21.67 ,14.90 ,4.51 ,7.56 ,895.12 ,118.31 ,0.89 ,0.04 ,200.00 ,186.83 ,볶음류
아구찜,17.47 ,48.30 ,5.31 ,0.69 ,1406.20 ,389.13 ,0.86 ,0.03 ,400.00 ,310.87 ,찜류
소고기무국,7.76 ,14.21 ,3.96 ,3.48 ,1067.02 ,38.43 ,1.30 ,0.08 ,400.00 ,122.94 ,국 및 탕류
치즈케이크,28.64 ,7.23 ,20.63 ,15.28 ,200.67 ,126.78 ,10.99 ,0.61 ,100.00 ,329.14 ,빵 및 과자류
소고기 샤브샤브,14.67 ,29.13 ,9.84 ,2.43 ,1122.40 ,76.02 ,3.71 ,0.27 ,600.00 ,263.75 ,찌개 및 전골류
김치만두,57.57 ,15.58 ,14.21 ,3.01 ,941.25 ,12.69 ,4.84 ,0.08 ,250.00 ,420.53 ,면 및 만두류
물냉면,112.90 ,15.82 ,4.08 ,23.19 ,2618.21 ,41.78 ,1.18 ,0.00 ,800.00 ,551.62 ,면 및 만두류
배추김치,2.90 ,1.23 ,0.29 ,0.79 ,312.08 ,1.13 ,0.06 ,0.00 ,50.00 ,19.13 ,김치류
오므라이스,112.45 ,21.52 ,21.56 ,10.35 ,1483.37 ,206.32 ,5.81 ,0.08 ,450.00 ,729.97 ,밥류
떡갈비,29.10 ,43.95 ,42.80 ,8.92 ,1102.77 ,108.11 ,15.25 ,0.63 ,250.00 ,677.36 ,전/적 및 부침류
양념게장,42.05 ,23.92 ,1.75 ,17.04 ,1775.08 ,135.41 ,0.61 ,0.02 ,200.00 ,279.63 ,젓갈류
곰탕,7.35 ,70.13 ,29.97 ,0.00 ,822.77 ,197.94 ,7.97 ,0.75 ,700.00 ,579.62 ,국 및 탕류
군만두,88.05 ,17.53 ,29.21 ,4.17 ,952.21 ,17.02 ,12.40 ,0.25 ,250.00 ,685.24 ,면 및 만두류
숙주나물,1.35 ,1.10 ,1.15 ,0.00 ,188.35 ,0.00 ,0.10 ,0.00 ,50.00 ,20.00 ,나물/숙채류
파전,34.81 ,6.83 ,14.03 ,0.79 ,345.96 ,46.14 ,2.26 ,0.07 ,150.00 ,292.80 ,전/적 및 부침류
감자전,27.62 ,2.90 ,7.29 ,0.36 ,268.85 ,1.94 ,1.09 ,0.04 ,100.00 ,187.67 ,전/적 및 부침류
전복죽,114.31 ,12.57 ,9.25 ,0.21 ,1309.47 ,28.47 ,1.79 ,0.05 ,800.00 ,590.82 ,죽 및 스프류
회덮밥,103.30 ,30.21 ,16.55 ,10.93 ,744.27 ,88.65 ,2.90 ,0.11 ,500.00 ,683.02 ,밥류
육회비빔밥,96.18 ,29.18 ,19.80 ,12.03 ,935.92 ,115.99 ,4.20 ,0.19 ,450.00 ,6789.70 ,밥류
카레라이스,126.01 ,13.49 ,12.67 ,4.97 ,1089.16 ,6.99 ,3.69 ,0.08 ,500.00 ,672.00 ,밥류
두부조림,2.86 ,6.15 ,3.69 ,0.25 ,250.01 ,0.00 ,0.63 ,0.01 ,50.00 ,69.25 ,조림류
새우튀김,26.30 ,9.05 ,17.76 ,0.09 ,555.81 ,60.23 ,3.04 ,0.19 ,100.00 ,301.24 ,튀김류
고구마튀김,33.80 ,2.70 ,11.90 ,0.70 ,148.41 ,20.84 ,1.70 ,0.10 ,100.00 ,253.00 ,튀김류
들깨칼국수,59.80 ,17.59 ,16.48 ,1.43 ,1192.57 ,3.36 ,1.46 ,0.02 ,600.00 ,457.88 ,면 및 만두류
크로와상,12.32 ,1.68 ,7.28 ,2.24 ,120.40 ,7.84 ,3.36 ,0.00 ,56.00 ,120.40 ,제빵
고구마맛탕,47.28 ,1.65 ,5.52 ,19.35 ,38.47 ,0.00 ,0.93 ,0.02 ,100.00 ,245.41 ,튀김류
미역줄기볶음,4.97 ,1.07 ,4.70 ,0.21 ,1023.06 ,0.00 ,0.64 ,0.03 ,100.00 ,66.49 ,볶음류
콩국수,112.03 ,31.03 ,10.51 ,4.69 ,944.59 ,31.25 ,4.30 ,0.00 ,800.00 ,666.83 ,면 및 만두류
콩나물무침,0.95 ,1.70 ,1.65 ,0.00 ,213.95 ,0.00 ,0.20 ,0.00 ,50.00 ,25.50 ,나물/숙채류
깍두기,3.34 ,0.83 ,0.18 ,1.39 ,323.47 ,0.80 ,0.02 ,0.00 ,50.00 ,18.33 ,김치류
고기만두,2.88 ,6.91 ,13.36 ,2.23 ,49.55 ,0.00 ,2.04 ,0.00 ,100.00 ,199.40 ,면 및 만두류
마늘빵,60.87 ,11.19 ,21.61 ,7.33 ,616.28 ,0.00 ,9.33 ,0.00 ,100.00 ,482.75 ,제빵
메밀전병,21.60 ,6.20 ,6.30 ,0.60 ,345.80 ,8.05 ,1.20 ,0.00 ,100.00 ,168.00 ,"곡류,서류 제품"
머핀,69.29 ,7.37 ,28.23 ,39.50 ,407.17 ,71.21 ,5.24 ,0.13 ,130.00 ,560.71 ,빵 및 과자류
생선까스,46.65 ,24.33 ,41.10 ,1.96 ,788.62 ,72.72 ,7.96 ,0.25 ,200.00 ,653.44 ,튀김류
두부김치,14.08 ,19.47 ,17.11 ,1.49 ,989.69 ,13.92 ,3.17 ,0.07 ,250.00 ,288.21 ,볶음류
쇠고기미역국,1.19 ,2.78 ,0.81 ,0.00 ,293.68 ,6.49 ,0.30 ,0.02 ,100.00 ,23.17 ,국 및 탕류
갈치구이,0.35 ,61.99 ,25.77 ,0.35 ,1022.03 ,198.95 ,7.35 ,0.25 ,250.00 ,481.32 ,구이류
버섯전,16.20 ,10.50 ,14.85 ,2.70 ,313.76 ,100.10 ,2.25 ,0.00 ,150.00 ,240.00 ,전/적 및 부침류
소고기메추리알장조림,2.80 ,8.14 ,1.84 ,0.71 ,602.12 ,41.52 ,0.45 ,0.02 ,50.00 ,60.56 ,조림류
요거트,15.12 ,4.40 ,3.59 ,10.56 ,66.83 ,13.71 ,2.15 ,0.31 ,100.00 ,110.39 ,발효유류
생크림케이크,27.59 ,3.90 ,16.90 ,8.36 ,96.63 ,66.89 ,9.36 ,0.34 ,100.00 ,278.08 ,빵 및 과자류
고등어조림,5.04 ,10.03 ,7.77 ,2.02 ,474.69 ,30.02 ,2.01 ,0.06 ,100.00 ,130.16 ,조림류
오징어볶음,12.56 ,10.47 ,3.15 ,0.47 ,480.52 ,131.74 ,0.55 ,0.02 ,100.00 ,120.51 ,볶음류
골뱅이무침,15.69 ,7.08 ,1.97 ,10.46 ,525.52 ,38.35 ,0.26 ,0.02 ,100.00 ,108.79 ,생채/무침류
북어국,2.59 ,10.14 ,1.98 ,0.00 ,329.16 ,0.00 ,0.00 ,0.00 ,169.20 ,67.07 ,국 및 탕류
도가니탕,4.54 ,100.88 ,16.83 ,0.00 ,598.16 ,163.79 ,4.71 ,0.44 ,800.00 ,573.17,국 및 탕류
해쉬브라운,28.51 ,2.65 ,11.59 ,0.27 ,360.00 ,0.00 ,0.93 ,0.00 ,100.00 ,219,튀김류
열무김치,2.43 ,1.12 ,0.28 ,0.58 ,310.35 ,1.81 ,0.05 ,0.00 ,50.00 ,16.77,김치류
콩비지찌개,17.87 ,19.37 ,10.96 ,1.28 ,1287.09 ,24.05 ,1.97 ,0.02 ,400.00 ,247.61,찌개 및 전골류
동그랑땡,12.68 ,19.62 ,20.00 ,0.98 ,533.09 ,103.27 ,4.66 ,0.12 ,150.00 ,309.2,전/적 및 부침류
돼지고기수육,10.30 ,67.08 ,99.60 ,0.25 ,416.68 ,133.91 ,36.97 ,0.33 ,300.00 ,1205.91,찜류
무생채,9.26 ,1.69 ,0.96 ,5.57 ,582.55 ,1.78 ,0.11 ,0.00 ,100.00 ,52.4,생채/무침류
문어숙회,0.72 ,14.88 ,0.48 ,0.00 ,208.33 ,140.11 ,0.16 ,0.00 ,80.00 ,67.2,찜류
갈치조림,5.30 ,11.00 ,3.54 ,1.92 ,486.39 ,43.56 ,1.00 ,0.02 ,100.00 ,97.04,조림류
내장탕,13.59 ,54.77 ,30.35 ,1.19 ,2336.88 ,460.59 ,8.39 ,0.47 ,700.00 ,546.64,찌개 및 전골류
해물찜,35.35 ,42.62 ,9.80 ,5.52 ,2137.21 ,419.16 ,1.54 ,0.04 ,500.00 ,400.08,찜류
소세지빵,12.24 ,5.44 ,6.80 ,2.04 ,266.56 ,9.52 ,2.72 ,0.00 ,68.00 ,130.56,제빵
순대볶음,19.18 ,5.18 ,5.33 ,1.35 ,375.09 ,35.43 ,1.27 ,0.03 ,100.00 ,145.38,볶음류
마파두부,10.73 ,15.26 ,13.77 ,0.29 ,691.40 ,24.58 ,2.77 ,0.08 ,200.00 ,227.93,볶음류
스파게티,77.06 ,11.20 ,0.18 ,2.96 ,0.00 ,0.00 ,0.03 ,0.00 ,100.00 ,354.62,면 및 만두류
튀김만두,22.71 ,5.02 ,19.39 ,1.01 ,322.31 ,0.00 ,3.87 ,0.00 ,100.00 ,285.45,면 및 만두류
어묵볶음,28.30 ,7.53 ,5.09 ,6.60 ,847.36 ,14.22 ,0.96 ,0.03 ,100.00 ,189.07,볶음류
감자볶음,16.73 ,2.11 ,4.54 ,1.02 ,423.18 ,0.00 ,0.60 ,0.02 ,100.00 ,116.25,볶음류
배추전,35.55 ,5.10 ,8.70 ,4.95 ,326.82 ,7.23 ,1.35 ,0.15 ,150.00 ,240,전/적 및 부침류
만둣국,47.83 ,21.43 ,17.44 ,3.05 ,2367.99 ,94.52 ,4.24 ,0.05 ,700.00 ,434.05,면 및 만두류
쫄면,109.57 ,18.40 ,9.99 ,24.17 ,1346.42 ,55.33 ,1.90 ,0.09 ,450.00 ,601.78,면 및 만두류
고구마줄기나물,5.13 ,1.68 ,3.86 ,0.54 ,529.24 ,0.00 ,0.47 ,0.02 ,100.00 ,61.92,나물/숙채류
치즈돈까스,41.76 ,42.02 ,46.69 ,3.57 ,870.77 ,98.81 ,13.59 ,0.44 ,250.00 ,755.37 ,튀김류
오징어튀김,24.29 ,11.93 ,18.14 ,0.00 ,360.00 ,101.92 ,2.90 ,0.18 ,100.00 ,308.19,튀김류
청국장찌개,10.41 ,22.40 ,15.59 ,0.99 ,1794.84 ,3.83 ,2.30 ,0.01 ,400.00 ,271.57,찌개 및 전골류
달걀찜,4.31 ,17.35 ,12.66 ,0.41 ,835.49 ,489.36 ,3.94 ,0.05 ,250.00 ,200.55,찜류
메밀국수,117.80 ,19.64 ,6.88 ,11.37 ,1753.84 ,3.45 ,0.54 ,0.00 ,600.00 ,611.72,면 및 만두류
식빵,49.68 ,9.01 ,4.91 ,4.12 ,516.00 ,0.00 ,2.87 ,0.00 ,100.00 ,279,제빵
김자반,10.42 ,4.69 ,0.91 ,232.16 ,0.00 ,0.00 ,0.00 ,0.00 ,61.30 ,45.22,볶음류
건새우볶음,5.71 ,4.67 ,2.69 ,2.60 ,196.24 ,33.45 ,0.40 ,0.02 ,20.00 ,65.73 ,볶음류
오렌지,11.10 ,0.00 ,0.00 ,11.20 ,22.22 ,0.00 ,0.00 ,0.00 ,100.00 ,40.00 ,과실류
우거지해장국,13.46 ,11.92 ,5.87 ,2.53 ,2049.59 ,22.37 ,1.19 ,0.04 ,600.00 ,154.38 ,국 및 탕류
소곱창구이,5.46 ,16.71 ,61.32 ,0.22 ,315.86 ,166.38 ,21.67 ,1.56 ,150.00 ,639.57 ,구이류
오이소박이,2.45 ,0.80 ,0.70 ,0.14 ,266.00 ,0.88 ,0.40 ,0.00 ,50.00 ,17.38,김치류
연어롤,74.32 ,18.57 ,15.40 ,8.47 ,1211.90 ,61.97 ,2.83 ,0.01 ,300.00 ,510.19 ,밥류
