Food,Carbohydrates,Protein,Fat,Sugar,Sodium,콜레스테롤,포화지방,트랜스지방,1회 제공량,Energy,분류
사과,14.36 ,0.20 ,0.03 ,11.14 ,0.00 ,0.00 ,0.01 ,0.00 ,100.00 ,49.00 ,과실류
딸기,8.90 ,0.80 ,0.20 ,0.00 ,13.00 ,0.00 ,0.00 ,0.00 ,100.00 ,34.00 ,과실류
키위,14.80 ,0.80 ,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,100.00 ,61.00 ,과실류
메론,9.10 ,0.50 ,0.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,100.00 ,36.00 ,과실류
수박,7.50 ,0.80 ,0.10 ,0.00 ,6.00 ,0.00 ,0.00 ,0.00 ,100.00 ,31.00 ,과실류
복숭아,14.00 ,1.40 ,0.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,100.00 ,59.00 ,과실류
블루베리,12.57 ,0.55 ,0.09 ,5.54 ,0.00 ,0.00 ,0.02 ,0.00 ,100.00 ,45 ,과실류
귤,9.90 ,0.70 ,0.10 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,100.00 ,38.00 ,과실류
오렌지,9.00 ,0.00 ,0.00 ,0.00 ,9.00 ,18.00 ,0.00 ,0.00 ,100.00 ,40.00 ,과실류
포도,15.01 ,0.71 ,0.13 ,8.46 ,1.00 ,0.00 ,0.00 ,0.00 ,100.00 ,54.00 ,과실류
고구마,30.28 ,1.39 ,0.23 ,3.19 ,18.00 ,0.00 ,0.00 ,0.00 ,75.00 ,128.00 ,감자 및 전분류
부추전,37.35 ,5.70 ,9.00 ,1.35 ,249.44 ,9.27 ,1.35 ,0.00 ,150.00 ,253,전/적 및 부침류
